,Entity,Code,Year,Annual CO₂ emissions (per capita)
72,Afghanistan,AFG,2021,0.29611897
388,Albania,ALB,2021,1.618066
494,Algeria,DZA,2021,3.9899774
721,Andorra,AND,2021,5.7286263
793,Angola,AGO,2021,0.6191414
825,Anguilla,AIA,2021,9.173204
890,Antigua and Barbuda,ATG,2021,5.027352
1025,Argentina,ARG,2021,4.117966
1195,Armenia,ARM,2021,2.4385939
1269,Aruba,ABW,2021,8.054269
1950,Australia,AUS,2021,15.091471
2154,Austria,AUT,2021,7.243327
2324,Azerbaijan,AZE,2021,3.7324574
2396,Bahamas,BHS,2021,5.8503213
2485,Bahrain,BHR,2021,26.663702
2561,Bangladesh,BGD,2021,0.5501772
2644,Barbados,BRB,2021,4.0017247
2814,Belarus,BLR,2021,6.2227383
3007,Belgium,BEL,2021,8.243808
3079,Belize,BLZ,2021,1.7231431
3143,Benin,BEN,2021,0.5967434
3215,Bermuda,BMU,2021,8.533475
3267,Bhutan,BTN,2021,1.9576669
3361,Bolivia,BOL,2021,1.9306858
3433,Bonaire Sint Eustatius and Saba,BES,2021,3.8679013
3559,Bosnia and Herzegovina,BIH,2021,4.1475167
3609,Botswana,BWA,2021,2.5111492
3730,Brazil,BRA,2021,2.281014
3790,British Virgin Islands,VGB,2021,5.0900307
4017,Brunei,BRN,2021,23.531528
4158,Bulgaria,BGR,2021,6.1808095
4222,Burkina Faso,BFA,2021,0.25783187
4294,Burundi,BDI,2021,0.055206448
4521,Cambodia,KHM,2021,1.1470591
4593,Cameroon,CMR,2021,0.3418291
4816,Canada,CAN,2021,14.3004675
4888,Cape Verde,CPV,2021,1.1356577
4951,Central African Republic,CAF,2021,0.041650932
5014,Chad,TCD,2021,0.11291891
5141,Chile,CHL,2021,4.3834257
5262,China,CHN,2021,8.04574
5363,Colombia,COL,2021,1.7800757
5426,Comoros,COM,2021,0.3629009
5489,Congo,COG,2021,1.2790622
5542,Cook Islands,COK,2021,5.367806
5614,Costa Rica,CRI,2021,1.5171846
5841,Cote d'Ivoire,CIV,2021,0.42603302
5967,Croatia,HRV,2021,4.3598137
6048,Cuba,CUB,2021,1.9595414
6120,Curacao,CUW,2021,9.686285
6192,Cyprus,CYP,2021,6.1087165
6354,Czechia,CZE,2021,9.241809
6456,Democratic Republic of Congo,COD,2021,0.027182981
6635,Denmark,DNK,2021,5.0522227
6707,Djibouti,DJI,2021,0.34297308
6778,Dominica,DMA,2021,2.188569
6853,Dominican Republic,DOM,2021,2.6014054
6873,East Timor,TLS,2021,0.5574256
6978,Ecuador,ECU,2021,2.321741
7089,Egypt,EGY,2021,2.2846344
7161,El Salvador,SLV,2021,1.1409876
7233,Equatorial Guinea,GNQ,2021,3.1966193
7269,Eritrea,ERI,2021,0.22666506
7439,Estonia,EST,2021,7.86407
7509,Eswatini,SWZ,2021,0.91188765
7586,Ethiopia,ETH,2021,0.14792238
8788,Faroe Islands,FRO,2021,13.197505
8860,Fiji,FJI,2021,1.5902857
9022,Finland,FIN,2021,6.7923503
9236,France,FRA,2021,4.7413116
9328,French Guiana,GUF,2021,2.189799
9395,French Polynesia,PYF,2021,3.1239517
9458,Gabon,GAB,2021,2.4399939
9530,Gambia,GMB,2021,0.24837817
9700,Georgia,GEO,2021,2.929708
9922,Germany,DEU,2021,8.08974
9994,Ghana,GHA,2021,0.64912677
10135,Greece,GRC,2021,5.390837
10207,Greenland,GRL,2021,9.0758
10279,Grenada,GRD,2021,2.5613847
10371,Guadeloupe,GLP,2021,5.784693
10452,Guatemala,GTM,2021,1.1543926
10679,Guinea,GIN,2021,0.35780457
10751,Guinea-Bissau,GNB,2021,0.17073512
10823,Guyana,GUY,2021,3.837854
10895,Haiti,HTI,2021,0.25122553
11194,Honduras,HND,2021,1.060269
11272,Hong Kong,HKG,2021,4.2249703
11461,Hungary,HUN,2021,4.9902883
11688,Iceland,ISL,2021,9.113199
11841,India,IND,2021,1.9250876
11974,Indonesia,IDN,2021,2.2621746
12086,Iran,IRN,2021,8.517396
12181,Iraq,IRQ,2021,4.262931
12292,Ireland,IRL,2021,7.5283546
12384,Israel,ISR,2021,6.126762
12546,Italy,ITA,2021,5.5483704
12618,Jamaica,JAM,2021,2.7194328
12772,Japan,JPN,2021,8.56574
12844,Jordan,JOR,2021,2.2957532
13014,Kazakhstan,KAZ,2021,14.413248
13086,Kenya,KEN,2021,0.37496784
13147,Kiribati,KIR,2021,0.5550228
